"Area status","Region","Title","Details","Criteria","Qualifying Species","Supporting Species","jurisdiction"
"IMMA","Australia-New Zealand and South East Indian Ocean","Geographe Bay to Eucla Shelf and Coastal Waters IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/geographe-bay-eucla-shelf-coastal-waters/"" rel="""" target=""_blank"">Read full IMMA summary</a>","A, B2, C1, C2, C3","Eubalaena australis, Megaptera novaeangliae, Balaenoptera musculus, Neophoca cinerea, Arctocephalus forsteri","Tursiops aduncus, Delphinus delphis, Balaenoptera musculus, Globicephala melas, Balaenoptera bonaerensis, Pseudorca crassidens, Orcinus orca, Kogia breviceps, Physeter macrocephalus, Caperea marginata, Tasmacetus shepherdi, Mesoplodon grayi","Australia"
"IMMA","Australia-New Zealand and South East Indian Ocean","Southern Australian Coastal and Shelf Region IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/southern-australian-coastal-and-shelf-region/"" rel="""" target=""_blank"">Read full IMMA summary</a>","A, B2, C1, C2, C3, D1, D2","Neophoca cinerea, Arctocephalus forsteri, Eubalaena australis, Balaenoptera musculus, Arctocephalus pusillus","Megaptera novaeangliae, Balaenoptera borealis, Tursiops aduncus, Tursiops truncatus, Delphinus delphis, Tasmacetus shepherdi, Mesoplodon layardii, Orcinus orca, Caperea marginata, Mirounga leonina, Hydrurga leptonyx, Arctocephalus tropicalis","Austrialia"
"IMMA","Australia-New Zealand and South East Indian Ocean","Southeastern Australian and Tasmanian Shelf Waters IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/southeastern-australian-tasmanian-shelf-waters/"" rel="""" target=""_blank"">Read full IMMA summary</a>","A, B1, B2, C1, C2, C3, D2","Balaenoptera musculus, Arctocephalus forsteri, Arctocephalus pusillus, Eubalaena australis, Megaptera novaeangliae","Delphinus delphis, Tursiops truncatus, Tursiops aduncus, Arctocephalus tropicalis, Orcinus orca, Globicephala melas, Mirounga leonina, Caperea marginata, Physeter macrocephalus, Mesoplodon layardii, Mesoplodon grayi, Ziphius cavirostris","Australia"
"IMMA","Australia-New Zealand and South East Indian Ocean","Australian East Coast Migration Corridor IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/australian-east-coast-migration-corridor/"" rel="""" target=""_blank"">Read full IMMA summary</a>","C3, D1","Megaptera novaeangliae, Balaenoptera acutorostrata","Orcaella heinsohni, Sousa sahulensis, Dugong dugon, Stenella longirostris, Pseudorca crassidens, Tursiops truncatus, Tursiops aduncus, Delphinus delphis, Orcinus orca, Balaenoptera edeni, Eubalaena australis, Arctocephalus pusillus","Australia"
"IMMA","Australia-New Zealand and South East Indian Ocean","Coast and Shelf Waters of Eastern Te Waipounamu IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/coast-and-shelf-waters-of-eastern-te-waipounamu-imma"" rel="""" target=""_blank"">Read full IMMA summary</a>","A, B1","Cephalorhynchus hectori, Phocarctos hookeri","Megaptera novaeeangliae, Eubalaena australis, Hydrurga leptonyx, Delphinus delphis, Tursiops truncatus, Balaenoptera physalus, Balaenoptera musculus, Balaenoptera acutorostrata, Mirounga angustirostris, Orcinus orca, Lagenorhynchus obscurus, Arctocephalus forsteri","New Zealand"
"IMMA","Australia-New Zealand and South East Indian Ocean","Marlborough Sounds and Cook Strait IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/marlborough-sounds-cook-strait/"" rel="""" target=""_blank"">Read full IMMA summary</a>","A, C1, C2, C3","Balaenoptera musculus, Berardius arnuxii, Ziphius cavirostris, Lagenorhynchus obscurus, Mesoplodon grayi, Cephalorhynchus hectori, Megaptera novaeangliae, Orcinus orca, Arctocephalus forsteri, Phocarctos hookeri","Mesoplodon bowdoini, Balaenoptera bonaerensis, Tursiops truncatus, Delphinus delphis, Pseudorca crassidens, Balaenoptera physalus, Hydrurga leptonyx, Globicephala melas, Kogia breviceps, Mirounga leonina, Lissodelphis peronii","New Zealand"
"IMMA","Australia-New Zealand and South East Indian Ocean","South Taranaki Bight IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/south-taranaki-bight/"" rel="""" target=""_blank"">Read full IMMA summary</a>","A, C1, C2, C3, D1, D2","Cephalorhynchus hectori, Balaenoptera musculus, Arctocephalus forsteri, Megaptera novaeangliae, Balaenoptera physalus, Balaenoptera borealis, Physeter macrocephalus","Globicephala melas, Caperea marginata, Tasmacetus shepherdi, Mesoplodon bowdoini, Balaenoptera bonaerensis, Berardius arnuxii, Tursiops truncatus, Balaenoptera edeni, Lobodon carcinophaga, Ziphius cavirostris, Lagenorhynchus obscurus","New Zealand"
"IMMA","Australia-New Zealand and South East Indian Ocean","Kaikoura IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/kaikoura/"" rel="""" target=""_blank"">Read full IMMA summary</a>","A, C2, D2","Cephalorhynchus hectori, Balaenoptera musculus, Arctocephalus forsteri","Megaptera novaeangliae, Balaenoptera borealis, Balaenoptera physalus, Eubalaena australis, Lissodelphis peronii, Tursiops truncatus, Delphinus delphis, Orcinus orca, Globicephala melas, Hydrurga leptonyx, Mirounga leonina","New Zealand"
"IMMA","Australia-New Zealand and South East Indian Ocean","Tikapa Moana Te Moananui a Toi Hauraki IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/tikapa-moana-te-moananui-a-toi-hauraki/"" rel="""" target=""_blank"">Read full IMMA summary</a>","A, B2, C2, D2","Balaenoptera edeni, Pseudorca crassidens, Balaenoptera musculus","Orcinus orca, Pseudorca crassidens, Delphinus delphis, Globicephala melas, Ziphius cavirostris, Mesoplodon grayi, Berardius arnuxii, Balaenoptera borealis, Megaptera novaeangliae, Balaenoptera bonaerensis, Physeter macrocephalus","New Zealand"
"IMMA","Australia-New Zealand and South East Indian Ocean","Western Australian Humpback Whale Migration Route IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/western-australian-humpback-whale-migration-route/"" rel="""" target=""_blank"">Read full IMMA summary</a>","C1, C3","Megaptera novaeangliae","Dugong dugon, Orcaella heinsohni, Sousa sahulensis, Stenella longirostris, Tursiops aduncus, Tursiops truncatus, Orcinus orca, Pseudorca crassidens, Balaenoptera musculus, Eubalaena australis, Balaenoptera physalus","Australia"
