Scientific name,Common name,Wikipedia page URL,Genus,Genus Wikipedia URL,Family,Family Wikipedia URL,Subfamily,Subfamily Wikipedia URL,Superfamily,Superfamily Wikipedia URL
Stenella clymene,Clymene dolphin,https://en.wikipedia.org/wiki/Clymene_dolphin,Stenella,https://en.wikipedia.org/wiki/Stenella,Delphinidae,https://en.wikipedia.org/wiki/Oceanic_dolphin,Delphininae,https://en.wikipedia.org/wiki/Oceanic_dolphin#Taxonomy,,
Stenella longirostris,Spinner dolphin,https://en.wikipedia.org/wiki/Spinner_dolphin,Stenella,https://en.wikipedia.org/wiki/Stenella,Delphinidae,https://en.wikipedia.org/wiki/Oceanic_dolphin,Delphininae,https://en.wikipedia.org/wiki/Oceanic_dolphin#Taxonomy,,
Lagenodelphis hosei,Fraser's dolphin,https://en.wikipedia.org/wiki/Fraser%27s_dolphin,Lagenodelphis,https://en.wikipedia.org/wiki/Fraser%27s_dolphin,Delphinidae,https://en.wikipedia.org/wiki/Oceanic_dolphin,Delphininae,https://en.wikipedia.org/wiki/Oceanic_dolphin#Taxonomy,,
Delphinus delphis,Common dolphin,https://en.wikipedia.org/wiki/Common_dolphin,Delphinus,https://en.wikipedia.org/wiki/Common_dolphin,Delphinidae,https://en.wikipedia.org/wiki/Oceanic_dolphin,Delphininae,https://en.wikipedia.org/wiki/Oceanic_dolphin#Taxonomy,,
Stenella coeruleoalba,Striped dolphin,https://en.wikipedia.org/wiki/Striped_dolphin,Stenella,https://en.wikipedia.org/wiki/Stenella,Delphinidae,https://en.wikipedia.org/wiki/Oceanic_dolphin,Delphininae,https://en.wikipedia.org/wiki/Oceanic_dolphin#Taxonomy,,
Stenella attenuata,Pantropical spotted dolphin,https://en.wikipedia.org/wiki/Pantropical_spotted_dolphin,Stenella,https://en.wikipedia.org/wiki/Stenella,Delphinidae,https://en.wikipedia.org/wiki/Oceanic_dolphin,Delphininae,https://en.wikipedia.org/wiki/Oceanic_dolphin#Taxonomy,,
Stenella frontalis,Atlantic spotted dolphin,https://en.wikipedia.org/wiki/Atlantic_spotted_dolphin,Stenella,https://en.wikipedia.org/wiki/Stenella,Delphinidae,https://en.wikipedia.org/wiki/Oceanic_dolphin,Delphininae,https://en.wikipedia.org/wiki/Oceanic_dolphin#Taxonomy,,
Tursiops truncatus,Common bottlenose dolphin,https://en.wikipedia.org/wiki/Common_bottlenose_dolphin,Tursiops,https://en.wikipedia.org/wiki/Bottlenose_dolphin,Delphinidae,https://en.wikipedia.org/wiki/Oceanic_dolphin,Delphininae,https://en.wikipedia.org/wiki/Oceanic_dolphin#Taxonomy,,
Tursiops aduncus,Indo-Pacific bottlenose dolphin,https://en.wikipedia.org/wiki/Indo-Pacific_bottlenose_dolphin,Tursiops,https://en.wikipedia.org/wiki/Bottlenose_dolphin,Delphinidae,https://en.wikipedia.org/wiki/Oceanic_dolphin,Delphininae,https://en.wikipedia.org/wiki/Oceanic_dolphin#Taxonomy,,
Sousa chinensis,Indo-Pacific humpback dolphin,https://en.wikipedia.org/wiki/Indo-Pacific_humpback_dolphin,Sousa,https://en.wikipedia.org/wiki/Humpback_dolphin,Delphinidae,https://en.wikipedia.org/wiki/Oceanic_dolphin,Delphininae,https://en.wikipedia.org/wiki/Oceanic_dolphin#Taxonomy,,
Sotalia guianensis,Guiana dolphin,https://en.wikipedia.org/wiki/Guiana_dolphin,Sotalia,https://en.wikipedia.org/wiki/Sotalia,Delphinidae,https://en.wikipedia.org/wiki/Oceanic_dolphin,Delphininae,https://en.wikipedia.org/wiki/Oceanic_dolphin#Taxonomy,,
Globicephala macrorhynchus,Short-finned pilot whale,https://en.wikipedia.org/wiki/Short-finned_pilot_whale,Globicephalinae,https://en.wikipedia.org/wiki/Pilot_whale,Delphinidae,https://en.wikipedia.org/wiki/Oceanic_dolphin,Globicephalinae,https://en.wikipedia.org/wiki/Globicephalinae,,
Globicephala melas,Long-finned pilot whale,https://en.wikipedia.org/wiki/Long-finned_pilot_whale,Globicephalinae,https://en.wikipedia.org/wiki/Pilot_whale,Delphinidae,https://en.wikipedia.org/wiki/Oceanic_dolphin,Globicephalinae,https://en.wikipedia.org/wiki/Globicephalinae,,
Feresa attenuata,Pygmy killer whale,https://en.wikipedia.org/wiki/Pygmy_killer_whale,Feresa,https://en.wikipedia.org/wiki/Pygmy_killer_whale,Delphinidae,https://en.wikipedia.org/wiki/Oceanic_dolphin,Globicephalinae,https://en.wikipedia.org/wiki/Globicephalinae,,
Peponocephala electra,Melon-headed whale,https://en.wikipedia.org/wiki/Melon-headed_whale,Peponocephala,https://en.wikipedia.org/wiki/Melon-headed_whale,Delphinidae,https://en.wikipedia.org/wiki/Oceanic_dolphin,Globicephalinae,https://en.wikipedia.org/wiki/Globicephalinae,,
Pseudorca crassidens,False killer whale,https://en.wikipedia.org/wiki/False_killer_whale,Pseudorca,https://en.wikipedia.org/wiki/Pseudorca,Delphinidae,https://en.wikipedia.org/wiki/Oceanic_dolphin,Globicephalinae,https://en.wikipedia.org/wiki/Globicephalinae,,
Grampus griseus,Risso's dolphin,https://en.wikipedia.org/wiki/Risso%27s_dolphin,Grampus,https://en.wikipedia.org/wiki/Risso%27s_dolphin,Delphinidae,https://en.wikipedia.org/wiki/Oceanic_dolphin,Globicephalinae,https://en.wikipedia.org/wiki/Globicephalinae,,
Steno bredanensis,Rough-toothed dolphin,https://en.wikipedia.org/wiki/Rough-toothed_dolphin,Steno,https://en.wikipedia.org/wiki/Rough-toothed_dolphin,Delphinidae,https://en.wikipedia.org/wiki/Oceanic_dolphin,Globicephalinae,https://en.wikipedia.org/wiki/Globicephalinae,,
Orcaella brevirostris,Irrawaddy dolphin,https://en.wikipedia.org/wiki/Irrawaddy_dolphin,Orcaella,https://en.wikipedia.org/wiki/Orcaella,Delphinidae,https://en.wikipedia.org/wiki/Oceanic_dolphin,Globicephalinae,https://en.wikipedia.org/wiki/Globicephalinae,,
Orcaella heinsohni,Australian snubfin dolphin,https://en.wikipedia.org/wiki/Australian_snubfin_dolphin,Orcaella,https://en.wikipedia.org/wiki/Orcaella,Delphinidae,https://en.wikipedia.org/wiki/Oceanic_dolphin,Globicephalinae,https://en.wikipedia.org/wiki/Globicephalinae,,
Cephalorhynchus heavisidii,Heaviside's dolphin,https://en.wikipedia.org/wiki/Heaviside%27s_dolphin,Cephalorhynchus,https://en.wikipedia.org/wiki/Cephalorhynchus,Delphinidae,https://en.wikipedia.org/wiki/Oceanic_dolphin,Lissodelphininae,https://en.wikipedia.org/wiki/Oceanic_dolphin#Taxonomy,,
Sagmatias australis,Peale's dolphin,https://en.wikipedia.org/wiki/Peale%27s_dolphin,Lagenorhynchus,https://en.wikipedia.org/wiki/Lagenorhynchus,Delphinidae,https://en.wikipedia.org/wiki/Oceanic_dolphin,Lissodelphininae,https://en.wikipedia.org/wiki/Oceanic_dolphin#Taxonomy,,
Cephalorhynchus commersonii,Commerson's dolphin,https://en.wikipedia.org/wiki/Commerson%27s_dolphin,Cephalorhynchus,https://en.wikipedia.org/wiki/Cephalorhynchus,Delphinidae,https://en.wikipedia.org/wiki/Oceanic_dolphin,Lissodelphininae,https://en.wikipedia.org/wiki/Oceanic_dolphin#Taxonomy,,
Sagmatias obscurus,Dusky dolphin,https://en.wikipedia.org/wiki/Dusky_dolphin,Lagenorhynchus,https://en.wikipedia.org/wiki/Lagenorhynchus,Delphinidae,https://en.wikipedia.org/wiki/Oceanic_dolphin,Lissodelphininae,https://en.wikipedia.org/wiki/Oceanic_dolphin#Taxonomy,,
Sagmatias obliquidens,Pacific white-sided dolphin,https://en.wikipedia.org/wiki/Pacific_white-sided_dolphin,Lagenorhynchus,https://en.wikipedia.org/wiki/Lagenorhynchus,Delphinidae,https://en.wikipedia.org/wiki/Oceanic_dolphin,Lissodelphininae,https://en.wikipedia.org/wiki/Oceanic_dolphin#Taxonomy,,
Lissodelphis borealis,Northern right whale dolphin,https://en.wikipedia.org/wiki/Northern_right_whale_dolphin,Lissodelphis,https://en.wikipedia.org/wiki/Right_whale_dolphin,Delphinidae,https://en.wikipedia.org/wiki/Oceanic_dolphin,Lissodelphininae,https://en.wikipedia.org/wiki/Oceanic_dolphin#Taxonomy,,
