Common name,Image URL
Clymene dolphin,https://upload.wikimedia.org/wikipedia/commons/a/aa/Clymenes.jpg
Spinner dolphin,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/A_spinner_dolphin_in_the_Red_Sea.jpg/1200px-A_spinner_dolphin_in_the_Red_Sea.jpg
Fraser's dolphin,https://upload.wikimedia.org/wikipedia/commons/2/2b/Frazer%C2%B4s_dolphin_group.jpg
Common dolphin,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Common_dolphin_noaa.jpg/1200px-Common_dolphin_noaa.jpg
Striped dolphin,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Stenella_coeruleoalba_Ligurian_Sea_02_-_brighter.jpg/1200px-Stenella_coeruleoalba_Ligurian_Sea_02_-_brighter.jpg
Pantropical spotted dolphin,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Pantropical_spotted_dolphin_swimming_off_the_coast_of_Costa_Rica.jpg/1200px-Pantropical_spotted_dolphin_swimming_off_the_coast_of_Costa_Rica.jpg
Atlantic spotted dolphin,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Atlantic_spotted_dolphin_%28Stenella_frontalis%29_NOAA.jpg/1200px-Atlantic_spotted_dolphin_%28Stenella_frontalis%29_NOAA.jpg
Common bottlenose dolphin,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Tursiops_truncatus_01-cropped.jpg/1200px-Tursiops_truncatus_01-cropped.jpg
Indo-Pacific bottlenose dolphin,https://upload.wikimedia.org/wikipedia/commons/8/87/Tursiops_aduncus%2C_Port_River%2C_Adelaide%2C_Australia_-_2003.jpg
Indo-Pacific humpback dolphin,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Pink_Dolphin.JPG/1200px-Pink_Dolphin.JPG
Guiana dolphin,https://upload.wikimedia.org/wikipedia/commons/a/a6/Descri%C3%A7%C3%A3o_in%C3%ADcio_ou_comportamento.jpg
Short-finned pilot whale,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Globicephala_macrorhynchus_Kurzflossen-Grindwal_DSCF8148.JPG/1200px-Globicephala_macrorhynchus_Kurzflossen-Grindwal_DSCF8148.JPG
Long-finned pilot whale,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Pilot_Whale_-_Flickr_-_gailhampshire.jpg/1200px-Pilot_Whale_-_Flickr_-_gailhampshire.jpg
Pygmy killer whale,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Pygmy_killer_whales_%28Feresa_attenuata%29_off_of_Guam_%28anim252384854%29.jpg/1200px-Pygmy_killer_whales_%28Feresa_attenuata%29_off_of_Guam_%28anim252384854%29.jpg
Melon-headed whale,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Peponocephala_electra_Mayotte.jpg/1200px-Peponocephala_electra_Mayotte.jpg
False killer whale,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Pseudoorca_Crassidens_-_False_Killer_Whale.jpg/1200px-Pseudoorca_Crassidens_-_False_Killer_Whale.jpg
Risso's dolphin,https://upload.wikimedia.org/wikipedia/commons/9/93/Grampo.jpg
Rough-toothed dolphin,https://upload.wikimedia.org/wikipedia/commons/2/26/Rough_toothed_dolphin.jpg
Irrawaddy dolphin,https://upload.wikimedia.org/wikipedia/commons/a/ae/Irrawaddy_dolphin-Orcaella_brevirostris_by_2eight.jpg
Australian snubfin dolphin,https://upload.wikimedia.org/wikipedia/commons/3/3f/Snubfin-3.jpg
Heaviside's dolphin,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Dolphins_at_L%C3%BCderitz%2C_Namibia_%283144863196%29.jpg/1200px-Dolphins_at_L%C3%BCderitz%2C_Namibia_%283144863196%29.jpg
Peale's dolphin,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Peale%27s_dolphin_%28Sagmatias_australis%29_off_the_coast_of_Calbuco%2C_Chile_%28380921709%29.jpg/1200px-Peale%27s_dolphin_%28Sagmatias_australis%29_off_the_coast_of_Calbuco%2C_Chile_%28380921709%29.jpg
Commerson's dolphin,https://upload.wikimedia.org/wikipedia/commons/a/a1/Tonina1_%282731842634%29.jpg
Dusky dolphin,https://upload.wikimedia.org/wikipedia/commons/1/13/DuskyDolphin.jpg
Pacific white-sided dolphin,https://upload.wikimedia.org/wikipedia/commons/f/f1/Pacific_white-sided_dolphins_%28Lagenorhynchus_obliquidens%29_NOAA.jpg
Norhtern right whale dolphin,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Anim1749_-_Flickr_-_NOAA_Photo_Library.jpg/1200px-Anim1749_-_Flickr_-_NOAA_Photo_Library.jpg
Southern right whale dolphin,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Lissodelphis_peronii_1847.jpg/1200px-Lissodelphis_peronii_1847.jpg
White beaked dolphin,https://upload.wikimedia.org/wikipedia/commons/7/72/Witsnuitdolfijn_-_Lagenorhynchus_albirostris.jpg
Orca,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Killerwhales_jumping.jpg/1200px-Killerwhales_jumping.jpg
Atlantic white-sided dolphin,https://upload.wikimedia.org/wikipedia/commons/9/9a/Atlantic_white-sided_dolphin.jpg
Spectacled porpoise,https://upload.wikimedia.org/wikipedia/commons/c/c4/Subadult_female_spectacled_porpoise.png
Burmeister's porpoise,https://upload.wikimedia.org/wikipedia/commons/1/1c/Burmeister%27s_porpoise_-_Phocoena_spinipinnis_-_2022-02-24.png
Harbour porpoise,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Ecomare_-_bruinvis_Michael_in_2015_%28bruinvis-michael2015-9313-sw%29.jpg/1200px-Ecomare_-_bruinvis_Michael_in_2015_%28bruinvis-michael2015-9313-sw%29.jpg
Dall's porpoise,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Phocoenoides_dalli_%28Dall%27s_porpoise%29.jpg/1200px-Phocoenoides_dalli_%28Dall%27s_porpoise%29.jpg
Indo-Pacific finless porpoise,https://upload.wikimedia.org/wikipedia/commons/c/c6/Stamps_of_Indonesia%2C_040-05.jpg
Beluga whale,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Oceanogr%C3%A0fic_29102004.jpg/1200px-Oceanogr%C3%A0fic_29102004.jpg
Narwhal,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/%D0%9D%D0%B0%D1%80%D0%B2%D0%B0%D0%BB_%D0%B2_%D1%80%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA%D0%BE%D0%B9_%D0%90%D1%80%D0%BA%D1%82%D0%B8%D0%BA%D0%B5.jpg/1200px-%D0%9D%D0%B0%D1%80%D0%B2%D0%B0%D0%BB_%D0%B2_%D1%80%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA%D0%BE%D0%B9_%D0%90%D1%80%D0%BA%D1%82%D0%B8%D0%BA%D0%B5.jpg
La Plata dolphin,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Pontoporia_blainvillei_296896096.jpg/1200px-Pontoporia_blainvillei_296896096.jpg
Amazon river dolphin,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Amazonas-Flussdelfin_Orinoko3.jpg/1200px-Amazonas-Flussdelfin_Orinoko3.jpg
Baiji,https://upload.wikimedia.org/wikipedia/commons/5/5e/Lipotes_vexillifer.png
Perrin's beaked whale,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Mesoplodon_perrini.jpg/1200px-Mesoplodon_perrini.jpg
Pygmy beaked whale,https://upload.wikimedia.org/wikipedia/commons/9/93/Mesoplodon_peruvianus.jpg
Blaincille's beaked whale,https://upload.wikimedia.org/wikipedia/commons/b/b9/Mesoplodon_densirostris.jpg
Stejneger's beaked whale,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Mesoplodon_stejnegeri.jpg/1200px-Mesoplodon_stejnegeri.jpg
Gray's beaked whale,https://upload.wikimedia.org/wikipedia/commons/6/6a/Mesoplodon_grayi_2.jpg
Hector's beaked whale,https://upload.wikimedia.org/wikipedia/commons/b/b5/Mesoplodon_hectori.jpg
Andrews' beaked whale,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Mesoplodon_bowdoini.jpg/1200px-Mesoplodon_bowdoini.jpg
Hubbs' beaked whale,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Mesoplodon_carlhubbsi.jpg/1200px-Mesoplodon_carlhubbsi.jpg
Strap-toothed whale,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Mesoplodon_layardii.jpg/1200px-Mesoplodon_layardii.jpg
True's beaked whale,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/The_True%27s_beaked_whale_photographed_underwater.jpg/1200px-The_True%27s_beaked_whale_photographed_underwater.jpg
