Year,Definite Count,Probable Count,Possible Count,Total
1954,1.0,0.0,0.0,1.0
1955,1.0,0.0,0.0,1.0
1956,0.0,0.0,0.0,0.0
1957,0.0,0.0,0.0,0.0
1958,1.0,0.0,0.0,1.0
1959,0.0,0.0,0.0,0.0
1960,2.0,0.0,0.0,2.0
1961,1.0,0.0,0.0,1.0
1962,0.0,0.0,0.0,0.0
1963,0.0,0.0,0.0,0.0
1964,0.0,0.0,0.0,0.0
1965,1.0,0.0,0.0,1.0
1966,0.0,0.0,0.0,0.0
1967,3.0,0.0,0.0,3.0
1968,0.0,0.0,0.0,0.0
1969,0.0,0.0,0.0,0.0
1970,0.0,0.0,0.0,0.0
1971,2.0,0.0,0.0,2.0
1972,7.0,0.0,0.0,7.0
1973,4.0,1.0,0.0,5.0
1974,2.0,0.0,0.0,2.0
1975,1.0,0.0,0.0,1.0
1976,5.0,1.0,0.0,6.0
1977,1.0,0.0,0.0,1.0
1978,0.0,0.0,0.0,0.0
1979,1.0,0.0,0.0,1.0
1980,5.0,0.0,0.0,5.0
1981,3.0,0.0,0.0,3.0
1982,7.0,0.0,0.0,7.0
1983,3.0,0.0,1.0,4.0
1984,7.0,0.0,0.0,7.0
1985,4.0,1.0,0.0,5.0
1986,11.0,1.0,0.0,12.0
1987,10.0,3.0,0.0,13.0
1988,10.0,1.0,2.0,13.0
1989,4.0,0.0,1.0,5.0
1990,9.0,0.0,0.0,9.0
1991,15.0,0.0,0.0,15.0
1992,17.0,2.0,2.0,21.0
1993,21.0,1.0,1.0,23.0
1994,16.0,1.0,4.0,21.0
1995,26.0,2.0,2.0,30.0
1996,23.0,1.0,2.0,26.0
1997,18.0,6.0,6.0,30.0
1998,26.0,3.0,4.0,33.0
1999,15.0,1.0,6.0,22.0
2000,11.0,5.0,8.0,24.0
2001,20.0,8.0,6.0,34.0
2002,8.0,4.0,3.0,15.0
2003,9.0,9.0,11.0,29.0
2004,12.0,6.0,9.0,27.0
2005,18.0,5.0,3.0,26.0
2006,15.0,3.0,16.0,34.0
2007,21.0,12.0,11.0,44.0
2008,4.0,6.0,9.0,19.0
2009,13.0,0.0,6.0,19.0
2010,5.0,4.0,2.0,11.0
2011,9.0,9.0,4.0,22.0
2012,16.0,9.0,4.0,29.0
2013,7.0,8.0,12.0,27.0
2014,10.0,5.0,3.0,18.0
2015,13.0,4.0,4.0,21.0
2016,18.0,5.0,9.0,32.0
2017,22.0,4.0,3.0,29.0
2018,16.0,2.0,3.0,21.0
2019,16.0,5.0,2.0,23.0
