Year,Nation,Fin,Sperm,Humpback,Sei,Brydes,CommonMinke,AntarcticMinke,Gray,Bowhead,Total
1986,Denmark/Greenland,9,0,0,0,0,147,0,0,0,156
1986,Iceland,76,0,0,40,0,0,0,0,0,116
1986,Indonesia,0,9,0,0,0,0,0,0,0,9
1986,Japan,0,200,0,0,317,311,1941,0,0,2769
1986,Korea,0,0,0,0,0,69,0,0,0,69
1986,Norway,0,0,0,0,0,379,0,0,0,379
1986,Saint Vincent & the Grenadines,0,0,2,0,0,0,0,0,0,2
1986,USSR,0,0,0,0,0,0,3028,169,0,3197
1986,United States,0,0,0,0,0,0,0,2,28,30
1987,Denmark/Greenland,9,0,0,0,0,90,0,0,0,99
1987,Iceland,80,0,0,20,0,0,0,0,0,100
1987,Indonesia,0,7,0,0,0,0,0,0,0,7
1987,Japan,0,188,0,0,317,305,272,0,0,1082
1987,Norway,0,0,0,0,0,373,0,0,0,373
1987,Portugal,0,3,0,0,0,0,0,0,0,3
1987,Saint Vincent & the Grenadines,0,0,2,0,0,0,0,0,0,2
1987,USSR,0,0,0,0,0,0,0,158,0,158
1987,United States,0,0,0,0,0,0,0,1,31,32
1988,Denmark/Greenland,9,0,1,4,0,119,0,0,0,133
1988,Iceland,68,0,0,10,0,0,0,0,0,78
1988,Indonesia,0,7,0,0,0,0,0,0,0,7
1988,Japan,0,0,0,0,0,5,236,0,0,241
1988,Norway,0,0,0,0,0,29,0,0,0,29
1988,Saint Vincent & the Grenadines,0,0,1,0,0,0,0,0,0,1
1988,USSR,0,0,0,0,0,0,0,150,0,150
1988,United States,0,0,0,0,0,0,0,1,29,30
1989,Denmark/Greenland,14,0,2,2,0,73,0,0,0,91
1989,Iceland,68,0,0,0,0,0,0,0,0,68
1989,Indonesia,0,4,0,0,0,0,0,0,0,4
1989,Japan,0,0,0,0,0,3,327,0,0,330
1989,Norway,0,0,0,0,0,17,0,0,0,17
1989,USSR,0,0,0,0,0,0,0,179,0,179
1989,United States,0,0,0,0,0,2,0,1,26,29
1990,Denmark/Greenland,20,0,1,0,0,92,0,0,0,113
1990,Indonesia,0,12,0,0,0,0,0,0,0,12
1990,Japan,0,0,0,0,0,4,323,0,0,327
