species_name,common_name,scientific_name,event_month,latitude,longitude,individual_count,IUCN_Red_List_status
Bowhead,Bowhead,Balaena Mysticetus,2012-08,79.5,50.0,1.0,LC
Bowhead,Bowhead,Balaena Mysticetus,2017-06,80.311508,54.810083,7.5,LC
Bowhead,Bowhead,Balaena Mysticetus,2017-06,79.998846,47.449725,2.0,LC
Bowhead,Bowhead,Balaena Mysticetus,2017-07,80.427667,13.578167,1.0,LC
Bowhead,Bowhead,Balaena Mysticetus,2017-08,80.0165535,48.7080395,19.5,LC
Bowhead,Bowhead,Balaena Mysticetus,2017-08,80.094642,53.441013,7.5,LC
Bowhead,Bowhead,Balaena Mysticetus,2018-08,72.025867,-93.240713,1.0,LC
Bowhead,Bowhead,Balaena Mysticetus,2018-09,72.06461,-93.386536,1.0,LC
Bowhead,Bowhead,Balaena Mysticetus,2019-05,75.445935,-9.858352,4.0,LC
Bowhead,Bowhead,Balaena Mysticetus,2019-06,79.83954299999999,8.9192785,5.5,LC
Bowhead,Bowhead,Balaena Mysticetus,2019-07,80.264407,57.20412,1.0,LC
Bowhead,Bowhead,Balaena Mysticetus,2019-07,70.45,-179.2,2.0,LC
Bowhead,Bowhead,Balaena Mysticetus,2019-07,80.1012,8.76845,1.0,LC
Bowhead,Bowhead,Balaena Mysticetus,2019-08,80.080597,57.29711,4.0,LC
Bowhead,Bowhead,Balaena Mysticetus,2019-08,80.5269,10.863333,1.0,LC
Bowhead,Bowhead,Balaena Mysticetus,2019-08,80.06902,48.977293,1.0,LC
Bowhead,Bowhead,Balaena Mysticetus,2019-08,78.526438,24.748535,1.0,LC
Bowhead,Bowhead,Balaena Mysticetus,2019-09,70.221653,-127.120108,2.0,LC
Bowhead,Bowhead,Balaena Mysticetus,2022-05,72.990483,-11.733398,1.0,LC
Bowhead,Bowhead,Balaena Mysticetus,2022-06,81.26,12.09,1.0,LC
Bowhead,Bowhead,Balaena Mysticetus,2022-06,78.12,0.122222,1.0,LC
Bowhead,Bowhead,Balaena Mysticetus,2022-07,71.910093,-93.804581,1.0,LC
Bowhead,Bowhead,Balaena Mysticetus,2022-08,69.699167,-139.051017,1.0,LC
Bowhead,Bowhead,Balaena Mysticetus,2022-08,71.693909,-75.29903,1.0,LC
Bowhead,Bowhead,Balaena Mysticetus,2023-06,74.850828,-6.16951,2.5,LC
Bowhead,Bowhead,Balaena Mysticetus,2023-08,71.045194,-128.759766,4.0,LC
Bowhead,Bowhead,Balaena Mysticetus,2023-08,73.859943,-90.31311,1.0,LC
Bowhead,Bowhead,Balaena Mysticetus,2023-08,76.52,-74.17,2.0,LC
